DateTime;QT210_PV;wwResolution
2024-10-07 16:42:50.000;117.900001525879;7414
2024-10-07 16:42:57.414;117.699996948242;7414
2024-10-07 16:43:04.828;117.199996948242;7414
2024-10-07 16:43:12.242;116.400001525879;7414
2024-10-07 16:43:19.656;116.400001525879;7414
2024-10-07 16:43:27.070;115.900001525879;7414
2024-10-07 16:43:34.484;115.699996948242;7414
2024-10-07 16:43:41.898;115.5;7414
2024-10-07 16:43:49.312;115;7414
2024-10-07 16:43:56.726;114.699996948242;7414
2024-10-07 16:44:04.140;114.5;7414
2024-10-07 16:44:11.554;114.199996948242;7414
2024-10-07 16:44:18.968;114.199996948242;7414
2024-10-07 16:44:26.382;114.199996948242;7414
2024-10-07 16:44:33.796;114.199996948242;7414
2024-10-07 16:44:41.210;114.699996948242;7414
2024-10-07 16:44:48.624;115;7414
2024-10-07 16:44:56.038;115.699996948242;7414
2024-10-07 16:45:03.452;116.300003051758;7414
2024-10-07 16:45:10.866;116.800003051758;7414
2024-10-07 16:45:18.280;117.300003051758;7414
2024-10-07 16:45:25.694;117.900001525879;7414
2024-10-07 16:45:33.108;118.400001525879;7414
2024-10-07 16:45:40.522;118.900001525879;7414
2024-10-07 16:45:47.936;119.300003051758;7414
2024-10-07 16:45:55.350;119.5;7414
2024-10-07 16:46:02.764;119.800003051758;7414
2024-10-07 16:46:10.178;120.199996948242;7414
2024-10-07 16:46:17.592;120.300003051758;7414
2024-10-07 16:46:25.006;120.300003051758;7414
2024-10-07 16:46:32.420;120.199996948242;7414
2024-10-07 16:46:39.834;120.199996948242;7414
2024-10-07 16:46:47.248;119.800003051758;7414
2024-10-07 16:46:54.662;119.800003051758;7414
2024-10-07 16:47:02.076;120.300003051758;7414
2024-10-07 16:47:09.490;124.300003051758;7414
2024-10-07 16:47:16.904;141.5;7414
2024-10-07 16:47:24.318;179.100006103516;7414
2024-10-07 16:47:31.732;308;7414
2024-10-07 16:47:39.146;468;7414
2024-10-07 16:47:46.560;570;7414
2024-10-07 16:47:53.974;600;7414
2024-10-07 16:48:01.388;609;7414
2024-10-07 16:48:08.802;608;7414
2024-10-07 16:48:16.216;578;7414
2024-10-07 16:48:23.630;549;7414
2024-10-07 16:48:31.044;538;7414
2024-10-07 16:48:38.458;523;7414
2024-10-07 16:48:45.872;503;7414
2024-10-07 16:48:53.286;480;7414
2024-10-07 16:49:00.700;459;7414
2024-10-07 16:49:08.114;437;7414
2024-10-07 16:49:15.528;415;7414
2024-10-07 16:49:22.942;396;7414
2024-10-07 16:49:30.356;381;7414
2024-10-07 16:49:37.770;365;7414
2024-10-07 16:49:45.184;344;7414
2024-10-07 16:49:52.598;333;7414
2024-10-07 16:50:00.012;320;7414
2024-10-07 16:50:07.426;308;7414
2024-10-07 16:50:14.840;297;7414
2024-10-07 16:50:22.254;286;7414
2024-10-07 16:50:29.668;274;7414
2024-10-07 16:50:37.082;257;7414
2024-10-07 16:50:44.496;246;7414
2024-10-07 16:50:51.910;235;7414
2024-10-07 16:50:59.324;227;7414
2024-10-07 16:51:06.738;218;7414
2024-10-07 16:51:14.152;206;7414
2024-10-07 16:51:21.566;198;7414
2024-10-07 16:51:28.980;190;7414
2024-10-07 16:51:36.394;184;7414
2024-10-07 16:51:43.808;161.699996948242;7414
2024-10-07 16:51:51.222;156.600006103516;7414
2024-10-07 16:51:58.636;152.199996948242;7414
2024-10-07 16:52:06.050;148.100006103516;7414
2024-10-07 16:52:13.464;144.600006103516;7414
2024-10-07 16:52:20.878;142.199996948242;7414
2024-10-07 16:52:28.292;138.300003051758;7414
2024-10-07 16:52:35.706;135.5;7414
2024-10-07 16:52:43.120;132.699996948242;7414
2024-10-07 16:52:50.534;130.300003051758;7414
2024-10-07 16:52:57.948;127.800003051758;7414
2024-10-07 16:53:05.362;125.599998474121;7414
2024-10-07 16:53:12.776;123.599998474121;7414
2024-10-07 16:53:20.190;121.900001525879;7414
2024-10-07 16:53:27.604;119.900001525879;7414
2024-10-07 16:53:35.018;117.900001525879;7414
2024-10-07 16:53:42.432;116.5;7414
2024-10-07 16:53:49.846;115;7414
2024-10-07 16:53:57.260;113;7414
2024-10-07 16:54:04.674;111.599998474121;7414
2024-10-07 16:54:12.088;110.300003051758;7414
2024-10-07 16:54:19.502;109.400001525879;7414
2024-10-07 16:54:26.916;108;7414
2024-10-07 16:54:34.330;107;7414
2024-10-07 16:54:41.744;105.599998474121;7414
2024-10-07 16:54:49.158;104.900001525879;7414
2024-10-07 16:54:56.572;104.199996948242;7414
2024-10-07 16:55:03.986;103.400001525879;7414